OrderID,OrderDate,Category,Region,Supplier,Warehouse,ShipMode,UnitsOrdered,UnitCost,LeadTimeDays,UnitPrice,UnitsShipped,BackorderUnits,ReorderPoint,ShippingDays,Revenue,COGS,Profit,StockoutFlag,OnTimeFlag,OrderMonth
1001493,2024-01-03,Office Supplies,South,Supplier E,WH-West,Standard,7,72.59,13,100.79,7,0,67,14,705.53,508.13,197.4,0,0,2024-01
1003742,2024-01-03,Electronics,East,Supplier E,WH-East,Standard,14,46.98,12,68.98,13,1,19,14,896.74,610.74,286.0,1,0,2024-01
1004477,2024-01-03,Electronics,North,Supplier E,WH-West,Standard,21,199.52,15,329.83,18,3,41,15,5936.94,3591.36,2345.58,1,0,2024-01
1002090,2024-01-03,Apparel,North,Supplier E,WH-South,Standard,11,187.5,4,302.96,10,1,34,6,3029.6,1875.0,1154.6,1,1,2024-01
1005705,2024-01-04,Home & Kitchen,South,Supplier C,WH-East,Standard,20,200.07,10,316.54,19,1,25,10,6014.26,3801.33,2212.93,1,1,2024-01
1005500,2024-01-04,Apparel,North,Supplier E,WH-North,Express,24,425.5,16,602.19,21,3,60,16,12645.99,8935.5,3710.49,1,0,2024-01
1001301,2024-01-04,Apparel,East,Supplier A,WH-East,Same Day,24,119.77,13,200.45,22,2,57,12,4409.9,2634.94,1774.96,1,0,2024-01
1004081,2024-01-04,Health & Beauty,West,Supplier B,WH-East,Same Day,3,159.09,17,241.01,3,0,50,17,723.03,477.27,245.76,0,0,2024-01
1000956,2024-01-04,Electronics,South,Supplier C,WH-East,Standard,3,279.66,11,466.69,3,0,33,10,1400.07,838.98,561.09,0,1,2024-01
1000834,2024-01-05,Electronics,East,Supplier B,WH-East,Express,19,85.16,7,121.27,19,0,41,5,2304.13,1618.04,686.09,0,1,2024-01
1000722,2024-01-05,Health & Beauty,South,Supplier A,WH-West,Standard,8,358.47,11,582.54,7,1,79,12,4077.78,2509.29,1568.49,1,1,2024-01
1005424,2024-01-05,Home & Kitchen,North,Supplier E,WH-North,Standard,17,422.22,6,628.85,15,2,33,6,9432.75,6333.3,3099.45,1,1,2024-01
1001025,2024-01-05,Electronics,North,Supplier D,WH-North,Standard,18,55.64,13,64.91,17,1,57,14,1103.47,945.88,157.59,1,0,2024-01
1005345,2024-01-05,Electronics,North,Supplier B,WH-South,Standard,9,262.87,10,341.82,9,0,19,11,3076.38,2365.83,710.55,0,1,2024-01
1000133,2024-01-05,Home & Kitchen,West,Supplier E,WH-East,Standard,7,65.62,14,111.71,6,1,59,14,670.26,393.72,276.54,1,0,2024-01
1003886,2024-01-05,Electronics,South,Supplier D,WH-South,Standard,17,222.33,2,369.36,15,2,51,4,5540.4,3334.95,2205.45,1,1,2024-01
1000421,2024-01-05,Health & Beauty,South,Supplier A,WH-East,Standard,5,318.16,3,438.81,5,0,12,1,2194.05,1590.8,603.25,0,1,2024-01
1005282,2024-01-05,Home & Kitchen,North,Supplier B,WH-South,Express,14,143.41,3,198.63,14,0,26,2,2780.82,2007.74,773.08,0,1,2024-01
1005511,2024-01-06,Office Supplies,North,Supplier B,WH-South,Express,21,215.07,8,346.93,21,0,38,8,7285.53,4516.47,2769.06,0,0,2024-01
1005418,2024-01-06,Electronics,West,Supplier B,WH-East,Standard,19,436.45,16,613.03,18,1,36,17,11034.54,7856.1,3178.44,1,0,2024-01
1005502,2024-01-06,Apparel,North,Supplier A,WH-South,Standard,14,61.74,15,87.48,11,3,61,13,962.28,679.14,283.14,1,0,2024-01
1000952,2024-01-06,Electronics,South,Supplier B,WH-West,Standard,23,58.75,17,102.27,22,1,65,17,2249.94,1292.5,957.44,1,0,2024-01
1005224,2024-01-06,Home & Kitchen,North,Supplier A,WH-East,Standard,12,185.8,7,220.66,9,3,79,7,1985.94,1672.2,313.74,1,1,2024-01
1004518,2024-01-06,Home & Kitchen,North,Supplier E,WH-East,Express,24,123.53,4,151.8,23,1,24,2,3491.4,2841.19,650.21,1,1,2024-01
1005098,2024-01-06,Office Supplies,North,Supplier B,WH-North,Standard,22,259.02,16,353.32,21,1,70,16,7419.72,5439.42,1980.3,1,0,2024-01
1000883,2024-01-07,Electronics,East,Supplier B,WH-South,Standard,3,203.88,7,352.8,2,1,50,6,705.6,407.76,297.84,1,1,2024-01
1002347,2024-01-07,Electronics,West,Supplier D,WH-North,Standard,15,78.72,14,91.5,15,0,37,16,1372.5,1180.8,191.7,0,0,2024-01
1001835,2024-01-07,Apparel,West,Supplier A,WH-West,Standard,11,430.63,6,612.35,10,1,12,8,6123.5,4306.3,1817.2,1,1,2024-01
1005968,2024-01-07,Office Supplies,North,Supplier E,WH-West,Standard,11,285.93,14,399.37,11,0,14,15,4393.07,3145.23,1247.84,0,0,2024-01
1004363,2024-01-07,Home & Kitchen,West,Supplier C,WH-South,Express,9,148.03,17,212.93,9,0,58,17,1916.37,1332.27,584.1,0,0,2024-01
1003359,2024-01-07,Apparel,South,Supplier A,WH-West,Standard,16,337.41,14,509.33,16,0,11,13,8149.28,5398.56,2750.72,0,0,2024-01
1001252,2024-01-07,Home & Kitchen,North,Supplier D,WH-North,Express,11,303.33,3,501.37,11,0,64,3,5515.07,3336.63,2178.44,0,1,2024-01
1001619,2024-01-07,Apparel,South,Supplier A,WH-East,Standard,18,362.27,8,523.43,17,1,35,7,8898.31,6158.59,2739.72,1,1,2024-01
1004612,2024-01-07,Electronics,North,Supplier D,WH-West,Express,7,251.94,5,290.82,7,0,18,4,2035.74,1763.58,272.16,0,1,2024-01
1001688,2024-01-07,Apparel,South,Supplier C,WH-North,Express,17,184.61,17,292.19,16,1,56,17,4675.04,2953.76,1721.28,1,0,2024-01
1005886,2024-01-08,Office Supplies,South,Supplier E,WH-North,Express,18,306.95,3,443.92,16,2,56,3,7102.72,4911.2,2191.52,1,1,2024-01
1002012,2024-01-08,Apparel,East,Supplier C,WH-West,Standard,16,156.59,5,266.18,15,1,70,5,3992.7,2348.85,1643.85,1,1,2024-01
1002514,2024-01-08,Home & Kitchen,North,Supplier E,WH-North,Standard,13,392.34,11,548.6,11,2,14,10,6034.6,4315.74,1718.86,1,1,2024-01
1004930,2024-01-08,Office Supplies,South,Supplier C,WH-West,Express,15,274.66,16,474.0,13,2,21,17,6162.0,3570.58,2591.42,1,0,2024-01
1000694,2024-01-08,Office Supplies,East,Supplier A,WH-East,Express,14,53.61,12,91.64,14,0,78,10,1282.96,750.54,532.42,0,0,2024-01
1003163,2024-01-08,Apparel,East,Supplier C,WH-South,Standard,6,71.32,9,98.58,6,0,79,7,591.48,427.92,163.56,0,1,2024-01
1001228,2024-01-08,Home & Kitchen,South,Supplier D,WH-South,Standard,16,54.95,2,66.52,14,2,30,1,931.28,769.3,161.98,1,1,2024-01
1000863,2024-01-08,Electronics,West,Supplier A,WH-North,Standard,21,397.56,6,545.18,17,4,23,6,9268.06,6758.52,2509.54,1,1,2024-01
1005394,2024-01-08,Health & Beauty,West,Supplier C,WH-North,Express,22,225.89,16,371.03,22,0,41,17,8162.66,4969.58,3193.08,0,0,2024-01
1003958,2024-01-08,Electronics,North,Supplier D,WH-West,Standard,21,294.02,12,442.02,19,2,42,11,8398.38,5586.38,2812.0,1,1,2024-01
1002942,2024-01-08,Office Supplies,West,Supplier A,WH-West,Same Day,13,55.22,12,95.9,11,2,69,10,1054.9,607.42,447.48,1,0,2024-01
1000276,2024-01-09,Apparel,West,Supplier A,WH-North,Standard,11,142.99,15,192.58,11,0,18,15,2118.38,1572.89,545.49,0,0,2024-01
1005662,2024-01-09,Office Supplies,West,Supplier D,WH-West,Standard,1,129.97,4,187.48,1,0,34,4,187.48,129.97,57.51,0,1,2024-01
1000599,2024-01-09,Apparel,South,Supplier B,WH-North,Standard,22,194.11,9,319.31,21,1,69,7,6705.51,4076.31,2629.2,1,1,2024-01
1001819,2024-01-09,Home & Kitchen,South,Supplier E,WH-West,Standard,15,326.89,16,422.88,12,3,46,14,5074.56,3922.68,1151.88,1,0,2024-01
1000990,2024-01-10,Health & Beauty,North,Supplier C,WH-West,Standard,9,179.96,11,241.3,9,0,44,10,2171.7,1619.64,552.06,0,1,2024-01
1000719,2024-01-10,Home & Kitchen,West,Supplier A,WH-North,Standard,18,37.86,4,44.42,18,0,35,3,799.56,681.48,118.08,0,1,2024-01
1003993,2024-01-10,Electronics,North,Supplier D,WH-East,Same Day,18,211.04,7,358.92,17,1,71,5,6101.64,3587.68,2513.96,1,0,2024-01
1002170,2024-01-10,Electronics,South,Supplier B,WH-East,Standard,22,30.57,17,42.63,19,3,61,16,809.97,580.83,229.14,1,0,2024-01
1003631,2024-01-10,Office Supplies,South,Supplier C,WH-North,Standard,1,156.26,10,232.84,1,0,61,10,232.84,156.26,76.58,0,1,2024-01
1001943,2024-01-10,Office Supplies,North,Supplier B,WH-East,Standard,23,378.42,3,507.92,20,3,78,2,10158.4,7568.4,2590.0,1,1,2024-01
1004143,2024-01-10,Home & Kitchen,North,Supplier E,WH-South,Express,20,185.98,7,265.2,20,0,69,6,5304.0,3719.6,1584.4,0,0,2024-01
1005279,2024-01-10,Apparel,North,Supplier B,WH-South,Express,9,393.71,15,474.78,7,2,10,17,3323.46,2755.97,567.49,1,0,2024-01
1002499,2024-01-10,Electronics,North,Supplier E,WH-West,Standard,15,167.72,14,273.86,12,3,26,14,3286.32,2012.64,1273.68,1,0,2024-01
1002666,2024-01-10,Health & Beauty,North,Supplier E,WH-West,Standard,10,253.63,14,307.1,8,2,38,15,2456.8,2029.04,427.76,1,0,2024-01
1005010,2024-01-11,Electronics,South,Supplier C,WH-South,Same Day,7,345.43,14,543.21,5,2,29,15,2716.05,1727.15,988.9,1,0,2024-01
1001516,2024-01-11,Health & Beauty,West,Supplier E,WH-North,Express,19,392.77,3,561.21,17,2,51,5,9540.57,6677.09,2863.48,1,1,2024-01
1001100,2024-01-11,Home & Kitchen,South,Supplier B,WH-North,Standard,1,210.93,4,245.16,1,0,32,6,245.16,210.93,34.23,0,1,2024-01
1004570,2024-01-11,Apparel,West,Supplier B,WH-South,Standard,21,256.93,2,406.16,20,1,33,1,8123.2,5138.6,2984.6,1,1,2024-01
1001347,2024-01-11,Health & Beauty,West,Supplier C,WH-West,Standard,20,16.76,6,29.15,19,1,13,6,553.85,318.44,235.41,1,1,2024-01
1001779,2024-01-11,Home & Kitchen,East,Supplier A,WH-East,Express,6,370.62,12,602.04,6,0,25,11,3612.24,2223.72,1388.52,0,0,2024-01
1002282,2024-01-12,Apparel,North,Supplier E,WH-West,Standard,24,366.26,10,450.53,20,4,18,9,9010.6,7325.2,1685.4,1,1,2024-01
1003651,2024-01-12,Office Supplies,North,Supplier A,WH-East,Same Day,12,28.08,14,38.21,11,1,21,15,420.31,308.88,111.43,1,0,2024-01
1001847,2024-01-12,Apparel,South,Supplier D,WH-West,Standard,16,164.64,13,239.0,16,0,39,11,3824.0,2634.24,1189.76,0,1,2024-01
1002099,2024-01-12,Office Supplies,East,Supplier A,WH-West,Express,13,389.89,12,664.93,12,1,54,11,7979.16,4678.68,3300.48,1,0,2024-01
1001401,2024-01-12,Apparel,South,Supplier B,WH-East,Express,22,345.43,5,546.98,20,2,42,4,10939.6,6908.6,4031.0,1,1,2024-01
1005762,2024-01-12,Apparel,South,Supplier E,WH-South,Standard,24,78.93,2,128.71,24,0,34,2,3089.04,1894.32,1194.72,0,1,2024-01
1000513,2024-01-12,Health & Beauty,East,Supplier B,WH-East,Same Day,18,46.45,9,76.55,18,0,36,10,1377.9,836.1,541.8,0,0,2024-01
1002681,2024-01-12,Home & Kitchen,West,Supplier C,WH-South,Express,7,122.34,3,183.69,7,0,35,1,1285.83,856.38,429.45,0,1,2024-01
1000688,2024-01-12,Electronics,East,Supplier C,WH-East,Standard,6,53.01,17,88.16,6,0,60,17,528.96,318.06,210.9,0,0,2024-01
1004243,2024-01-12,Electronics,West,Supplier A,WH-East,Standard,8,53.13,7,73.12,8,0,37,5,584.96,425.04,159.92,0,1,2024-01
1005606,2024-01-12,Apparel,East,Supplier B,WH-West,Standard,18,77.64,13,115.12,18,0,56,14,2072.16,1397.52,674.64,0,0,2024-01
1003806,2024-01-12,Electronics,North,Supplier D,WH-North,Standard,7,362.57,10,509.05,7,0,31,12,3563.35,2537.99,1025.36,0,1,2024-01
1002378,2024-01-12,Office Supplies,North,Supplier C,WH-East,Standard,23,427.48,15,694.55,20,3,13,15,13891.0,8549.6,5341.4,1,0,2024-01
1001987,2024-01-12,Health & Beauty,East,Supplier A,WH-West,Standard,23,30.52,9,48.11,20,3,26,11,962.2,610.4,351.8,1,1,2024-01
1005728,2024-01-12,Health & Beauty,East,Supplier B,WH-West,Standard,18,130.91,15,170.31,17,1,20,13,2895.27,2225.47,669.8,1,0,2024-01
1002334,2024-01-12,Apparel,West,Supplier E,WH-South,Standard,7,8.07,15,13.29,7,0,27,15,93.03,56.49,36.54,0,0,2024-01
1004924,2024-01-13,Home & Kitchen,East,Supplier A,WH-South,Express,19,318.45,6,459.46,18,1,20,7,8270.28,5732.1,2538.18,1,0,2024-01
1004996,2024-01-13,Home & Kitchen,North,Supplier B,WH-East,Express,1,352.58,16,533.51,1,0,24,18,533.51,352.58,180.93,0,0,2024-01
1003725,2024-01-13,Apparel,East,Supplier B,WH-West,Standard,22,348.79,7,598.18,20,2,69,9,11963.6,6975.8,4987.8,1,1,2024-01
1005150,2024-01-13,Home & Kitchen,West,Supplier C,WH-South,Express,14,426.55,6,574.6,12,2,19,5,6895.2,5118.6,1776.6,1,1,2024-01
1005435,2024-01-13,Home & Kitchen,East,Supplier C,WH-North,Standard,2,142.45,2,204.2,1,1,31,2,204.2,142.45,61.75,1,1,2024-01
1003519,2024-01-13,Office Supplies,West,Supplier D,WH-South,Standard,9,448.61,4,554.26,8,1,12,5,4434.08,3588.88,845.2,1,1,2024-01
1003701,2024-01-13,Electronics,South,Supplier B,WH-South,Standard,20,157.62,16,231.69,20,0,76,17,4633.8,3152.4,1481.4,0,0,2024-01
1003600,2024-01-13,Home & Kitchen,East,Supplier E,WH-South,Express,7,185.01,14,224.19,7,0,69,15,1569.33,1295.07,274.26,0,0,2024-01
1002455,2024-01-13,Home & Kitchen,North,Supplier D,WH-West,Standard,2,64.6,13,88.13,2,0,55,11,176.26,129.2,47.06,0,1,2024-01
1002673,2024-01-13,Office Supplies,East,Supplier C,WH-South,Standard,15,177.81,17,227.42,13,2,79,19,2956.46,2311.53,644.93,1,0,2024-01
1000994,2024-01-13,Electronics,North,Supplier A,WH-East,Standard,10,269.64,5,361.81,10,0,26,3,3618.1,2696.4,921.7,0,1,2024-01
1003638,2024-01-14,Apparel,South,Supplier C,WH-West,Standard,11,378.71,14,521.67,10,1,43,16,5216.7,3787.1,1429.6,1,0,2024-01
1001924,2024-01-14,Electronics,North,Supplier A,WH-South,Standard,11,230.91,12,269.84,10,1,47,12,2698.4,2309.1,389.3,1,1,2024-01
1001846,2024-01-14,Office Supplies,South,Supplier C,WH-West,Same Day,12,146.87,10,222.3,11,1,56,10,2445.3,1615.57,829.73,1,0,2024-01
1002683,2024-01-14,Electronics,North,Supplier C,WH-South,Standard,9,107.89,10,172.9,9,0,71,11,1556.1,971.01,585.09,0,1,2024-01
1004877,2024-01-14,Office Supplies,North,Supplier B,WH-West,Standard,15,215.93,3,303.51,15,0,55,5,4552.65,3238.95,1313.7,0,1,2024-01
1000054,2024-01-14,Apparel,South,Supplier E,WH-South,Standard,19,151.17,6,225.28,17,2,63,8,3829.76,2569.89,1259.87,1,1,2024-01
1000139,2024-01-15,Electronics,East,Supplier D,WH-North,Standard,15,314.52,9,538.75,14,1,26,9,7542.5,4403.28,3139.22,1,1,2024-01
1000890,2024-01-15,Home & Kitchen,West,Supplier C,WH-East,Standard,21,245.95,10,311.71,17,4,71,8,5299.07,4181.15,1117.92,1,1,2024-01
1001084,2024-01-15,Office Supplies,West,Supplier A,WH-South,Standard,2,275.34,16,457.25,2,0,59,14,914.5,550.68,363.82,0,0,2024-01
1001060,2024-01-15,Office Supplies,North,Supplier D,WH-East,Standard,5,27.87,7,46.74,5,0,76,5,233.7,139.35,94.35,0,1,2024-01
1003894,2024-01-15,Electronics,South,Supplier D,WH-North,Standard,14,305.38,7,445.76,11,3,41,6,4903.36,3359.18,1544.18,1,1,2024-01
1000098,2024-01-15,Apparel,North,Supplier C,WH-West,Standard,24,206.48,10,348.96,21,3,76,10,7328.16,4336.08,2992.08,1,1,2024-01
1001423,2024-01-16,Electronics,South,Supplier A,WH-West,Standard,9,35.39,17,47.04,9,0,44,16,423.36,318.51,104.85,0,0,2024-01
1003139,2024-01-16,Home & Kitchen,South,Supplier B,WH-East,Standard,14,203.96,8,337.55,13,1,17,10,4388.15,2651.48,1736.67,1,1,2024-01
1001463,2024-01-16,Apparel,West,Supplier B,WH-South,Standard,23,71.62,16,95.15,21,2,73,16,1998.15,1504.02,494.13,1,0,2024-01
1005697,2024-01-16,Apparel,South,Supplier B,WH-East,Standard,2,245.32,12,398.11,2,0,39,12,796.22,490.64,305.58,0,1,2024-01
1000491,2024-01-16,Apparel,East,Supplier D,WH-West,Standard,15,40.95,15,65.71,13,2,15,14,854.23,532.35,321.88,1,0,2024-01
1002978,2024-01-16,Electronics,North,Supplier A,WH-West,Express,4,317.2,4,417.48,4,0,11,5,1669.92,1268.8,401.12,0,1,2024-01
1004014,2024-01-17,Electronics,South,Supplier E,WH-South,Express,11,276.88,10,393.92,11,0,41,10,4333.12,3045.68,1287.44,0,0,2024-01
1004290,2024-01-17,Electronics,North,Supplier B,WH-South,Express,22,298.01,6,443.32,21,1,72,5,9309.72,6258.21,3051.51,1,1,2024-01
1000341,2024-01-17,Home & Kitchen,South,Supplier D,WH-North,Standard,9,416.47,10,720.16,7,2,47,11,5041.12,2915.29,2125.83,1,1,2024-01
1002489,2024-01-17,Office Supplies,East,Supplier A,WH-West,Standard,10,401.96,3,519.66,10,0,41,5,5196.6,4019.6,1177.0,0,1,2024-01
1003775,2024-01-17,Office Supplies,East,Supplier A,WH-East,Standard,11,320.49,3,414.87,8,3,47,2,3318.96,2563.92,755.04,1,1,2024-01
1002525,2024-01-17,Office Supplies,East,Supplier D,WH-East,Standard,18,255.09,5,389.14,18,0,51,5,7004.52,4591.62,2412.9,0,1,2024-01
1001670,2024-01-17,Electronics,East,Supplier B,WH-North,Same Day,6,70.88,7,89.63,5,1,51,9,448.15,354.4,93.75,1,0,2024-01
1001397,2024-01-17,Home & Kitchen,South,Supplier A,WH-West,Standard,4,101.6,14,154.37,4,0,67,15,617.48,406.4,211.08,0,0,2024-01
1001377,2024-01-17,Electronics,West,Supplier C,WH-West,Same Day,13,251.73,9,359.18,13,0,25,9,4669.34,3272.49,1396.85,0,0,2024-01
1001315,2024-01-17,Apparel,South,Supplier C,WH-East,Standard,10,65.68,6,109.41,9,1,28,6,984.69,591.12,393.57,1,1,2024-01
1004606,2024-01-17,Office Supplies,North,Supplier A,WH-East,Standard,5,155.81,16,257.7,5,0,77,16,1288.5,779.05,509.45,0,0,2024-01
1005609,2024-01-17,Office Supplies,West,Supplier A,WH-West,Standard,23,257.71,6,396.32,19,4,57,6,7530.08,4896.49,2633.59,1,1,2024-01
1001644,2024-01-17,Home & Kitchen,West,Supplier A,WH-East,Standard,2,30.16,5,37.39,2,0,22,7,74.78,60.32,14.46,0,1,2024-01
1001205,2024-01-18,Electronics,South,Supplier A,WH-West,Standard,3,435.45,9,723.73,3,0,38,9,2171.19,1306.35,864.84,0,1,2024-01
1005061,2024-01-18,Electronics,North,Supplier B,WH-South,Standard,3,126.23,8,204.27,3,0,49,6,612.81,378.69,234.12,0,1,2024-01
1000366,2024-01-18,Electronics,West,Supplier D,WH-East,Express,22,62.22,13,94.91,21,1,24,12,1993.11,1306.62,686.49,1,0,2024-01
1004553,2024-01-18,Apparel,East,Supplier C,WH-West,Standard,20,193.88,2,303.88,20,0,15,2,6077.6,3877.6,2200.0,0,1,2024-01
1002063,2024-01-19,Home & Kitchen,East,Supplier C,WH-South,Express,16,140.02,10,232.11,15,1,56,8,3481.65,2100.3,1381.35,1,0,2024-01
1003254,2024-01-19,Apparel,East,Supplier D,WH-West,Standard,22,429.41,8,703.75,21,1,29,7,14778.75,9017.61,5761.14,1,1,2024-01
1002738,2024-01-19,Home & Kitchen,East,Supplier E,WH-North,Express,15,314.0,10,547.05,12,3,56,10,6564.6,3768.0,2796.6,1,0,2024-01
1004854,2024-01-19,Office Supplies,West,Supplier C,WH-South,Standard,6,290.74,6,393.58,6,0,19,6,2361.48,1744.44,617.04,0,1,2024-01
1003544,2024-01-19,Office Supplies,West,Supplier B,WH-South,Express,11,141.51,9,217.34,10,1,26,10,2173.4,1415.1,758.3,1,0,2024-01
1004260,2024-01-19,Electronics,East,Supplier A,WH-South,Standard,3,93.47,14,144.11,3,0,52,14,432.33,280.41,151.92,0,0,2024-01
1003941,2024-01-19,Apparel,East,Supplier D,WH-West,Standard,18,113.22,6,183.71,18,0,32,8,3306.78,2037.96,1268.82,0,1,2024-01
1001204,2024-01-19,Apparel,East,Supplier E,WH-West,Express,7,304.59,11,440.62,7,0,76,10,3084.34,2132.13,952.21,0,0,2024-01
1000560,2024-01-19,Apparel,North,Supplier E,WH-East,Standard,7,107.08,17,181.87,6,1,45,16,1091.22,642.48,448.74,1,0,2024-01
1005439,2024-01-19,Apparel,South,Supplier B,WH-North,Express,16,193.14,15,264.1,13,3,15,15,3433.3,2510.82,922.48,1,0,2024-01
1002642,2024-01-19,Home & Kitchen,East,Supplier E,WH-South,Standard,17,403.24,13,519.73,16,1,48,14,8315.68,6451.84,1863.84,1,0,2024-01
1004588,2024-01-19,Office Supplies,East,Supplier D,WH-East,Express,19,80.87,8,113.1,18,1,28,9,2035.8,1455.66,580.14,1,0,2024-01
1001976,2024-01-20,Apparel,North,Supplier D,WH-East,Standard,1,340.91,9,466.81,1,0,72,8,466.81,340.91,125.9,0,1,2024-01
1002708,2024-01-20,Office Supplies,South,Supplier E,WH-West,Express,7,206.22,10,355.67,7,0,42,8,2489.69,1443.54,1046.15,0,0,2024-01
1002698,2024-01-20,Health & Beauty,North,Supplier D,WH-North,Same Day,17,46.83,13,72.23,16,1,30,14,1155.68,749.28,406.4,1,0,2024-01
1003481,2024-01-20,Home & Kitchen,West,Supplier D,WH-South,Same Day,7,296.19,3,507.9,5,2,21,2,2539.5,1480.95,1058.55,1,1,2024-01
1001543,2024-01-20,Home & Kitchen,South,Supplier D,WH-West,Express,18,214.19,8,372.18,18,0,42,7,6699.24,3855.42,2843.82,0,0,2024-01
1000391,2024-01-20,Electronics,East,Supplier D,WH-East,Standard,15,410.53,16,671.43,15,0,64,16,10071.45,6157.95,3913.5,0,0,2024-01
1004322,2024-01-20,Electronics,North,Supplier C,WH-North,Standard,12,275.68,14,451.54,12,0,61,14,5418.48,3308.16,2110.32,0,0,2024-01
1002688,2024-01-20,Health & Beauty,East,Supplier B,WH-North,Standard,23,264.28,4,340.3,22,1,57,6,7486.6,5814.16,1672.44,1,1,2024-01
1005921,2024-01-20,Home & Kitchen,West,Supplier C,WH-East,Express,6,26.11,16,34.42,6,0,37,15,206.52,156.66,49.86,0,0,2024-01
1004485,2024-01-21,Health & Beauty,East,Supplier D,WH-East,Standard,13,297.92,11,484.69,12,1,32,13,5816.28,3575.04,2241.24,1,0,2024-01
1002110,2024-01-21,Apparel,North,Supplier A,WH-East,Express,4,287.83,4,336.91,4,0,29,4,1347.64,1151.32,196.32,0,1,2024-01
1001717,2024-01-21,Home & Kitchen,North,Supplier A,WH-West,Express,20,20.86,8,28.62,18,2,58,8,515.16,375.48,139.68,1,0,2024-01
1002848,2024-01-21,Electronics,East,Supplier A,WH-North,Standard,11,248.52,17,353.27,9,2,43,18,3179.43,2236.68,942.75,1,0,2024-01
1002483,2024-01-21,Home & Kitchen,South,Supplier C,WH-North,Standard,16,438.18,11,565.83,12,4,77,12,6789.96,5258.16,1531.8,1,1,2024-01
1005634,2024-01-21,Electronics,East,Supplier C,WH-North,Same Day,9,187.27,4,253.65,7,2,19,4,1775.55,1310.89,464.66,1,0,2024-01
